index,pred
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,1
385,0
386,1
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,0
403,1
404,1
405,1
406,1
407,0
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,1
