,0,1,2,Label
1381,1,1,1,1
6700,0,0,0,0
22436,0,0,0,0
9897,1,1,1,1
20846,1,1,1,1
26756,0,0,0,1
17479,0,1,0,0
8633,1,1,1,1
20211,1,1,1,1
19968,1,1,1,1
17622,0,0,0,0
24314,0,0,0,0
3041,0,1,1,0
19417,1,1,1,1
4675,0,0,0,0
21823,1,1,1,1
25884,0,0,0,0
22455,0,1,1,0
15440,0,0,0,0
17689,1,1,1,1
24311,0,0,0,0
17193,0,0,0,0
28152,0,0,0,0
8951,1,1,1,1
1098,1,1,1,1
3479,1,1,1,1
29377,0,0,0,0
27544,0,0,0,0
32466,0,0,0,0
31298,0,0,0,0
28586,1,0,1,1
12249,1,1,1,0
9135,0,0,0,0
32982,0,0,0,0
24175,0,1,1,0
31708,1,1,1,1
19120,1,1,1,1
9866,1,1,1,1
21522,0,0,0,0
33452,0,0,0,0
29585,0,0,0,0
21369,0,0,0,0
10342,0,0,0,0
6267,0,0,1,0
15485,1,1,1,1
200,0,0,0,0
12239,0,0,0,0
31672,1,1,1,1
11325,0,0,0,0
2469,0,0,0,0
19829,1,1,1,1
28820,1,1,1,1
19453,0,0,0,0
10359,0,0,0,0
28231,1,1,1,1
33406,0,0,1,0
7432,1,1,1,1
11064,0,0,0,0
20587,0,0,0,0
12714,0,0,0,0
27950,0,0,0,0
4209,1,0,0,1
32109,0,0,0,0
27929,0,1,1,0
29938,0,0,0,0
8542,1,1,1,1
7142,0,0,0,0
18799,1,0,1,1
26503,1,1,1,1
17759,1,1,1,1
26153,1,1,1,1
29225,1,1,1,1
1174,0,0,0,0
30470,0,0,0,0
24095,1,0,1,1
32791,0,0,0,0
2451,1,1,1,1
20581,1,0,1,1
29973,1,1,1,1
15587,1,1,1,1
12008,1,1,1,1
27375,1,1,1,1
31099,1,1,1,1
19093,1,1,1,1
13319,1,1,1,1
4628,1,1,1,1
25723,0,0,0,0
135,0,0,0,0
19983,1,1,1,1
27678,0,0,0,0
19986,1,1,1,1
28214,1,1,1,1
7080,1,1,1,1
13825,0,0,0,0
29001,0,0,1,0
8527,0,0,0,0
17912,1,1,1,1
667,0,0,0,0
589,1,1,1,1
14294,1,1,1,1
8696,1,1,1,1
10699,1,1,1,1
5807,1,1,1,1
16728,0,0,0,0
10979,1,1,1,1
33444,1,1,1,1
15491,1,1,1,1
19922,0,0,0,1
6664,1,1,1,1
18838,1,1,1,1
23659,1,1,1,1
28148,1,0,1,1
28616,1,1,1,1
5433,1,1,1,1
8241,1,1,1,1
13960,0,0,0,0
18147,0,0,1,0
15369,1,1,1,1
2293,0,0,0,0
7564,1,1,1,1
32516,0,1,1,0
9750,0,0,0,0
30924,1,0,0,1
22127,0,0,0,0
4171,1,1,1,1
7715,0,0,0,0
22182,1,1,1,1
26234,0,0,0,0
21264,1,1,1,1
30058,0,0,0,0
32607,1,1,1,1
9348,0,0,0,0
25044,1,1,1,1
15659,1,1,1,1
5977,0,0,0,0
3851,0,0,1,0
31223,0,0,0,0
12018,0,0,0,0
12873,1,1,1,1
5191,0,0,0,0
18836,1,1,1,1
12731,0,1,1,0
18645,1,1,1,1
5994,0,0,0,0
14153,0,0,0,0
10743,0,0,0,0
3162,1,1,1,1
21092,0,1,1,1
20544,0,0,0,0
13297,1,1,1,1
17656,1,0,1,1
24456,1,1,1,1
13887,1,1,1,1
19539,0,0,0,0
15091,1,1,1,1
18141,0,0,0,0
25724,0,0,0,0
25839,1,1,1,1
29455,0,0,0,0
3166,1,1,1,1
22674,1,0,1,1
12473,0,0,0,0
27735,0,0,1,0
29717,1,1,1,1
24239,1,0,1,1
6220,0,0,0,0
24021,0,1,0,0
713,1,0,1,1
5368,0,0,1,0
6092,1,1,1,1
27490,0,0,0,0
13567,1,1,1,1
2530,0,0,0,0
1361,0,0,0,0
29224,1,1,1,1
13246,0,0,0,0
30931,1,1,1,1
14375,0,0,1,0
11814,1,1,1,1
24228,0,0,0,0
28104,1,1,1,1
30583,0,0,0,0
21249,0,0,0,0
1198,1,1,1,1
6376,0,0,0,0
7544,0,0,0,0
9917,1,1,1,1
16001,0,1,1,0
24319,1,1,1,1
7676,1,1,1,1
24000,1,1,1,1
16862,1,1,1,1
14723,1,1,1,1
5665,0,0,0,0
13711,0,0,0,0
7031,1,1,1,1
16362,0,0,0,0
30642,1,1,1,1
29577,0,0,0,0
33352,1,1,1,1
26304,1,1,1,1
16870,0,0,0,0
7394,1,0,1,1
18963,1,1,1,1
10303,0,0,0,0
9068,0,0,0,0
373,0,0,0,0
455,0,0,0,0
7252,1,1,1,1
15541,1,1,1,1
13273,1,0,1,1
17585,0,0,0,0
17377,0,0,0,0
